Channel 1	Channel 2	Channel 3	Channel 4
76.187359	81.748743	86.502440	91.808454
76.528347	82.315283	88.649107	93.724279
76.982895	83.108153	87.745530	92.033936
75.505184	83.561072	88.084419	94.737838
76.187359	81.522078	88.762025	94.174809
78.118758	82.655125	88.649107	91.808454
79.140422	84.240248	89.552277	94.850426
79.821211	82.541851	89.665145	95.975984
80.728535	85.032316	90.793481	92.710236
80.048084	86.954563	89.326523	95.413278
78.913435	83.787491	88.762025	96.988490
81.635414	86.728514	89.326523	94.963008
78.686420	84.127069	91.808454	97.438343
81.182030	86.163279	91.244642	95.525831
81.182030	86.841542	90.455046	95.975984
82.768392	86.389393	93.724279	99.124485
83.787491	88.536182	91.808454	99.349209
80.955297	86.050212	94.287426	97.888105
83.447852	90.342221	91.470185	99.686252
84.013883	87.858499	92.033936	98.450181
82.541851	88.197369	95.863455	99.012115
84.806044	87.745530	94.400038	98.562579
84.466586	91.131861	94.850426	98.899739
85.710973	90.342221	95.525831	99.236850
83.108153	91.470185	93.724279	100.584792
87.293588	90.906280	96.876013	100.360190
85.597880	92.484827	96.313538	100.023246
88.423251	92.146668	95.075584	100.472494
85.258561	93.048304	98.787358	101.707474
85.145442	91.582947	95.188155	102.156396
85.937139	94.174809	99.012115	102.268612
88.987843	94.625244	95.638378	100.584792
89.213636	93.949556	96.876013	100.584792
87.293588	94.287426	97.775673	102.044173
88.536182	94.850426	100.135566	104.399725
89.552277	94.963008	100.360190	105.072315
88.310313	95.413278	99.012115	102.605231
88.649107	96.651040	97.888105	103.614800
90.906280	94.625244	100.247881	103.053981
90.116554	94.174809	101.707474	102.941802
90.342221	97.438343	102.380824	106.080852
92.710236	96.988490	100.360190	106.640972
90.793481	98.450181	100.135566	104.287609
92.597534	99.236850	99.686252	103.839091
92.822931	97.213428	100.135566	104.848139
94.850426	96.651040	100.697085	104.623943
95.300719	96.313538	100.584792	104.511837
93.048304	100.247881	102.380824	106.416939
96.088508	100.247881	103.278325	108.432511
95.300719	98.674971	102.380824	105.184396
94.963008	101.482981	103.278325	106.416939
95.525831	98.674971	104.736044	109.663460
95.300719	101.819713	102.156396	109.999071
96.313538	101.595230	104.848139	106.752981
94.963008	100.247881	102.717427	108.208638
94.737838	101.707474	106.640972	106.976983
98.225367	102.044173	106.192887	110.334638
97.325889	102.493030	104.175487	110.110931
98.562579	103.166156	103.951228	111.117462
98.450181	103.166156	104.399725	109.999071
100.135566	100.584792	105.520605	108.544440
100.584792	103.390488	105.856769	112.123607
98.225367	103.951228	105.856769	108.992107
98.000532	103.502647	108.992107	108.992107
101.258466	103.502647	105.744720	112.123607
98.337777	106.080852	108.992107	112.794159
98.899739	104.175487	105.968813	112.458904
98.787358	104.175487	107.536901	113.799674
98.787358	103.839091	107.200966	110.781995
99.573910	105.632665	110.446485	114.023071
100.023246	106.640972	109.663460	113.017639
103.502647	105.520605	111.117462	113.241100
100.472494	106.528958	109.887205	112.347143
104.175487	106.416939	110.110931	113.129372
101.482981	106.080852	109.439695	111.117462
104.175487	105.520605	108.432511	112.905901
103.614800	105.184396	109.215911	112.011831
104.063360	107.088977	111.229274	114.581485
103.502647	108.432511	110.558326	115.363074
104.399725	106.528958	113.129372	115.697973
103.839091	110.222787	110.110931	116.032832
104.960230	108.096695	112.235377	115.363074
102.941802	107.648870	110.893822	114.246450
106.864985	109.775335	113.129372	116.590843
104.960230	108.656364	114.023071	114.246450
105.296471	109.663460	111.900052	116.256050
107.088977	110.670163	113.799674	113.799674
104.960230	108.880197	113.687968	117.371873
105.968813	110.110931	111.452886	117.483431
105.520605	110.446485	114.023071	115.697973
107.872792	108.768283	111.788267	114.246450
105.296471	110.110931	112.905901	117.037172
106.080852	110.558326	112.123607	117.148743
108.880197	109.887205	115.028134	117.037172
108.768283	111.676478	112.570660	116.925596
106.416939	113.687968	114.358133	118.933296
109.663460	112.011831	115.474711	117.818080
108.320577	111.676478	112.905901	118.487261
107.760834	110.446485	114.246450	118.487261
108.096695	111.788267	115.139785	115.363074
109.327805	112.794159	115.921217	118.710287
109.439695	112.347143	117.037172	119.602221
110.670163	115.363074	113.799674	118.152689
111.900052	112.905901	115.139785	117.037172
108.544440	114.023071	115.586344	116.032832
108.768283	113.576258	117.818080	120.159543
110.670163	114.916478	116.925596	119.713694
112.905901	114.469811	117.037172	116.702431
112.794159	114.134763	117.148743	119.044794
112.011831	115.921217	117.594985	118.041157
109.775335	113.687968	116.367652	117.706534
113.352824	114.358133	118.821793	117.260310
113.352824	115.697973	119.044794	117.706534
112.682412	117.037172	118.710287	121.162460
111.452886	117.148743	118.933296	121.273874
